                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                 1.1888,                 1.4995,                 1.0607,                 1.0517,                0.01665,                0.05556,                0.00488,                0.00276,                0.01665,                0.05556,                0.00488,                0.00297,                 2.0661,                 11.198,                 131.47,                 2.2529,              0.0009878,              0.0009878,              0.0009878
                     88,                 1.1444,                 1.4393,                 1.0684,                 1.0403,                0.00201,                0.01111,                0.00085,                0.00051,                0.00201,                0.01111,                0.00085,                0.00043,                 1.8616,                 6.3235,                  46.75,                 1.6787,             0.00099067,             0.00099067,             0.00099067
                     89,                 1.1014,                 1.3096,                 1.1251,                 1.1186,                0.00201,                0.01111,                0.00085,                0.00051,                0.00201,                0.01111,                0.00085,                0.00043,                 1.8616,                 6.3235,                  46.75,                 1.6787,             0.00099334,             0.00099334,             0.00099334
                     90,                 1.2012,                 1.7412,                 1.1322,                 1.0718,                0.00201,                0.01111,                0.00085,                0.00051,                0.00201,                0.01111,                0.00085,                0.00043,                 1.8616,                 6.3235,                  46.75,                 1.6787,             0.00099582,             0.00099582,             0.00099582
                     91,                 1.1926,                 1.8546,                 1.2978,                 1.1269,                0.00201,                0.01111,                0.00085,                0.00051,                0.00201,                0.01111,                0.00085,                0.00043,                 1.8616,                 6.3235,                  46.75,                 1.6787,              0.0009981,              0.0009981,              0.0009981
                     92,                 1.1951,                 1.1777,                 1.0405,                 1.0119,                0.00328,                0.01111,                0.00087,                0.00061,                0.00328,                0.01111,                0.00087,                0.00061,                 1.5748,                 5.5363,                   35.1,                 1.3119,              0.0010002,              0.0010002,              0.0010002
                     93,                 1.0571,                 1.3467,                0.94386,                  1.026,                0.00328,                0.01111,                0.00087,                0.00061,                0.00328,                0.01111,                0.00087,                0.00061,                 1.5748,                 5.5363,                   35.1,                 1.3119,              0.0010021,              0.0010021,              0.0010021
                     94,                 1.1313,                 1.7102,                 1.0213,                 1.1122,                0.00328,                0.01111,                0.00087,                0.00061,                0.00328,                0.01111,                0.00087,                0.00061,                 1.5748,                 5.5363,                   35.1,                 1.3119,              0.0010037,              0.0010037,              0.0010037
                     95,                 1.1727,                 1.4905,                 1.0388,                 1.1053,                0.00328,                0.01111,                0.00087,                0.00061,                0.00328,                0.01111,                0.00087,                0.00061,                 1.5748,                 5.5363,                   35.1,                 1.3119,              0.0010052,              0.0010052,              0.0010052
                     96,                 1.0732,                 1.3178,                0.97433,                0.98449,                0.55523,                0.68889,                0.61541,                0.39183,                0.53732,                0.66667,                0.59322,                0.27434,                 1.4123,                 3.8567,                 3.1368,                 1.1912,              0.0010065,              0.0010065,              0.0010065
