                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      7,                0.92108,                 4.1964,                  1.138,                0.05167,                0.34444,                 0.0541,                0.02572,                 1.5528,                 3.2359,                 1.3397,             0.00011644,             0.00011644,             0.00011644
                      8,                 1.1414,                 2.0199,                 1.1537,                0.58921,                0.62222,                0.64124,                0.41427,                   1.28,                 1.3968,                 1.0978,             0.00013515,             0.00013515,             0.00013515
                      9,                0.76728,                 1.8003,                0.91773,                0.80838,                0.65626,                0.75184,                0.50353,                 1.1948,                 1.1238,                 1.0497,             0.00015366,             0.00015366,             0.00015366
                     10,                0.91401,                 1.3169,                0.95283,                0.32965,                0.44444,                0.26276,                0.16097,                  1.245,                 2.0626,                 1.0349,             0.00017198,             0.00017198,             0.00017198
                     11,                0.82247,                 1.6439,                0.96929,                0.48139,                0.46667,                0.34531,                0.19886,                 1.2962,                 1.9416,                 1.0388,              0.0001901,              0.0001901,              0.0001901
                     12,                0.60225,                0.73366,                0.84229,                0.31541,                0.58889,                0.27224,                0.17437,                 1.3326,                 2.2744,                 1.0681,             0.00020802,             0.00020802,             0.00020802
                     13,                0.71792,                0.97003,                0.85306,                0.31673,                0.53333,                0.24994,                0.14895,                 1.4915,                 3.1148,                 1.1385,             0.00022574,             0.00022574,             0.00022574
                     14,                0.93179,                 1.0434,                0.92182,                0.35129,                0.55556,                0.26135,                0.15445,                 1.6214,                 3.3433,                 1.1926,             0.00024327,             0.00024327,             0.00024327
                     15,                 1.1302,                  1.433,                 1.1105,                0.43907,                0.60012,                0.34893,                0.20621,                 1.5233,                 2.5506,                 1.1295,              0.0002606,              0.0002606,              0.0002606
                     16,                0.79141,                0.93731,                0.85322,                0.49829,                0.68889,                0.40955,                0.24702,                 1.4976,                  2.202,                 1.1109,             0.00027773,             0.00027773,             0.00027773
                     17,                0.81339,                 1.2858,                0.91313,                0.63453,                0.66667,                 0.5632,                0.34772,                 1.4202,                 1.5872,                 1.0982,             0.00029466,             0.00029466,             0.00029466
                     18,                0.84215,                0.81819,                0.85186,                0.63453,                0.66667,                 0.5632,                0.34772,                 1.4202,                 1.5872,                 1.0982,             0.00031139,             0.00031139,             0.00031139
                     19,                0.76103,                0.81857,                0.87458,                0.89995,                0.73333,                0.77531,                0.44357,                 1.5581,                 1.1887,                 1.1839,             0.00032792,             0.00032792,             0.00032792
                     20,                0.79273,                0.82162,                0.91388,                0.89995,                0.73333,                0.77531,                0.44357,                 1.5581,                 1.1887,                 1.1839,             0.00034426,             0.00034426,             0.00034426
                     21,                0.84661,                 1.0816,                0.89178,                0.93377,                0.64444,                0.73664,                0.37992,                 1.6854,                 1.3694,                 1.2597,              0.0003604,              0.0003604,              0.0003604
                     22,                0.75027,                0.71755,                0.88194,                0.93377,                0.64444,                0.73664,                0.37992,                 1.6854,                 1.3694,                 1.2597,             0.00037634,             0.00037634,             0.00037634
                     23,                0.81688,                0.81799,                0.86119,                0.79409,                0.64275,                0.71646,                0.36084,                 1.6428,                 1.5346,                 1.2277,             0.00039208,             0.00039208,             0.00039208
                     24,                0.90337,                 0.8826,                 0.9935,                0.79409,                0.64275,                0.71646,                0.36084,                 1.6428,                 1.5346,                 1.2277,             0.00040763,             0.00040763,             0.00040763
                     25,                0.92064,                 1.0264,                0.92475,                0.80402,                0.56667,                0.66354,                0.34779,                 1.6092,                 1.7608,                 1.2612,             0.00042298,             0.00042298,             0.00042298
                     26,                0.83654,                0.76178,                0.87928,                0.80402,                0.56667,                0.66354,                0.34779,                 1.6092,                 1.7608,                 1.2612,             0.00043812,             0.00043812,             0.00043812
                     27,                0.79356,                0.82101,                0.89371,                0.79328,                0.58889,                0.65902,                0.38733,                 1.4202,                 1.9141,                 1.1809,             0.00045308,             0.00045308,             0.00045308
                     28,                0.84062,                0.78984,                0.90316,                0.79328,                0.58889,                0.65902,                0.38733,                 1.4202,                 1.9141,                 1.1809,             0.00046783,             0.00046783,             0.00046783
                     29,                0.73388,                0.73762,                 0.9305,                 0.8028,                0.54283,                0.65261,                 0.4142,                 1.3045,                 2.0267,                 1.1144,             0.00048238,             0.00048238,             0.00048238
                     30,                 1.1853,                 1.3687,                0.93341,                 0.8028,                0.54283,                0.65261,                 0.4142,                 1.3045,                 2.0267,                 1.1144,             0.00049674,             0.00049674,             0.00049674
                     31,                0.92783,                0.92163,                0.93899,                0.90245,                0.53333,                0.66345,                0.44023,                 1.3305,                 2.1214,                 1.1132,              0.0005109,              0.0005109,              0.0005109
                     32,                0.89984,                0.84879,                0.93766,                0.90245,                0.53333,                0.66345,                0.44023,                 1.3305,                 2.1214,                 1.1132,             0.00052486,             0.00052486,             0.00052486
                     33,                 1.0009,                0.95635,                0.92814,                0.87878,                0.45556,                0.59082,                0.39991,                 1.3846,                  2.222,                   1.12,             0.00053862,             0.00053862,             0.00053862
                     34,                 1.0296,                 1.1341,                 1.0849,                0.87878,                0.45556,                0.59082,                0.39991,                 1.3846,                  2.222,                   1.12,             0.00055219,             0.00055219,             0.00055219
                     35,                0.99997,                 1.0018,                 1.0255,                0.79812,                0.21111,                0.29811,                0.18204,                 1.6295,                 2.5553,                 1.1801,             0.00056556,             0.00056556,             0.00056556
                     36,                 1.0755,                 1.0202,                0.90416,                0.79812,                0.21111,                0.29811,                0.18204,                 1.6295,                 2.5553,                 1.1801,             0.00057872,             0.00057872,             0.00057872
                     37,                  1.029,                0.93277,                0.93216,                0.56296,                0.23333,                0.29498,                0.15528,                 1.7193,                 2.4691,                 1.1982,              0.0005917,              0.0005917,              0.0005917
                     38,                 1.1559,                0.73366,                0.96929,                0.56296,                0.23333,                0.29498,                0.15528,                 1.7193,                 2.4691,                 1.1982,             0.00060447,             0.00060447,             0.00060447
                     39,                 1.0091,                0.87194,                0.93801,                0.67973,                0.49525,                0.55894,                0.30788,                   1.57,                 1.8458,                 1.1696,             0.00061704,             0.00061704,             0.00061704
                     40,                0.93654,                0.91353,                0.88265,                0.67973,                0.49525,                0.55894,                0.30788,                   1.57,                 1.8458,                 1.1696,             0.00062942,             0.00062942,             0.00062942
                     41,                0.95835,                 1.0186,                0.96065,                0.62033,                0.45556,                0.50642,                0.29414,                 1.4859,                 1.8599,                 1.1539,              0.0006416,              0.0006416,              0.0006416
                     42,                 1.1104,                 1.0833,                 1.0309,                0.62033,                0.45556,                0.50642,                0.29414,                 1.4859,                 1.8599,                 1.1539,             0.00065358,             0.00065358,             0.00065358
                     43,                 1.1373,                 1.0111,                 1.0028,                  0.591,                0.53333,                0.55341,                0.31438,                 1.3798,                 1.7499,                 1.1431,             0.00066536,             0.00066536,             0.00066536
                     44,                0.97181,                0.97019,                0.97102,                  0.591,                0.53333,                0.55341,                0.31438,                 1.3798,                 1.7499,                 1.1431,             0.00067695,             0.00067695,             0.00067695
                     45,                  1.063,                 1.0618,                 1.1765,                0.56766,                0.57778,                0.57946,                0.34843,                 1.2673,                  1.709,                 1.0792,             0.00068834,             0.00068834,             0.00068834
                     46,                0.98423,                 0.8685,                 1.0058,                0.56766,                0.57778,                0.57946,                0.34843,                 1.2673,                  1.709,                 1.0792,             0.00069953,             0.00069953,             0.00069953
                     47,                0.91806,                0.89949,                 0.9901,                 0.5444,                0.41111,                0.42263,                0.25481,                 1.4336,                 1.8971,                 1.1889,             0.00071052,             0.00071052,             0.00071052
                     48,                0.95869,                0.83463,                 1.0457,                 0.5444,                0.41111,                0.42263,                0.25481,                 1.4336,                 1.8971,                 1.1889,             0.00072131,             0.00072131,             0.00072131
                     49,                 1.0158,                0.86282,                 0.9954,                0.21402,                0.36608,                0.12248,                0.07715,                 1.4976,                 2.7201,                 1.2227,              0.0007319,              0.0007319,              0.0007319
